Name, category,publishtime,author,version,currentprice,primeprice,feedback,web
The Atlas of Beauty,All Art & Photography,1-Oct-17,Mihaela Noroc,Hardback,34.76,0,4.5,https://www.bookdepository.com/The-Atlas-of-Beauty-Mihaela-Noroc/9781846149412?ref=grid-view
Life,All Art & Photography,26-May-11,Keith Richards,Paperback,13.13,18.5,4,https://www.bookdepository.com/Life-Keith-Richards/9780753826614?ref=grid-view
The Happiest Refugee,All Art & Photography,1-Sep-10,Anh Do,Paperback,24.17,25.81,4,https://www.bookdepository.com/The-Happiest-Refugee-Anh-Do/9781742372389?ref=grid-view
Creative Haven Creative Cats Coloring Book,All Art & Photography,15-Apr-15,Marjorie Sarnat,Paperback,8.63,0,4.5,https://www.bookdepository.com/Creative-Haven-Creative-Cats-Coloring-Book-Marjorie-Sarnat/9780486789644?ref=grid-view
The Disaster Artist,All Art & Photography,29-Apr-16,Greg Sestero,Paperback,10.92,12.48,4.5,https://www.bookdepository.com/The-Disaster-Artist-Greg-Sestero-Tom-Bissell/9780751561876?ref=grid-view
Is it Just Me?,All Art & Photography,6-Jun-13,Miranda Hart,Paperback,10.56,12.73,4,https://www.bookdepository.com/Is-it-Just-Me-Miranda-Hart/9781444734164?ref=grid-view
I Wrote This for You: Just the Words,All Art & Photography,6-Dec-13,Pleasefindthis,Paperback,11.24,0,4,https://www.bookdepository.com/I-Wrote-This-for-You-Just-the-Words-Pleasefindthis/9781771680042?ref=grid-view
Fun with Dinosaur Stencils,All Art & Photography,1-Oct-87,Albert G. Smith,Paperback,3.78,0,4.5,https://www.bookdepository.com/Fun-with-Dinosaur-Stencils-Albert-G-Smith/9780486254500?ref=grid-view
Moab Is My Washpot,All Art & Photography,5-Aug-04,Stephen Fry,Paperback,13.92,14.21,4,https://www.bookdepository.com/Moab-Is-My-Washpot-Stephen-Fry/9780099457046?ref=grid-view
Not That Kind of Girl,All Art & Photography,30-Sep-14,LENA DUNHAM,Hardback,20.61,23.58,3.5,https://www.bookdepository.com/Not-That-Kind-of-Girl-LENA-DUNHAM/9780008101268?ref=grid-view
The Artist's Way,All Art & Photography,21-Nov-16,Julia Cameron,Paperback,17.7,23.58,4,https://www.bookdepository.com/The-Artists-Way-Julia-Cameron/9781509829477?ref=grid-view
Humans of New York,All Art & Photography,13-Oct-15,Brandon Stanton,Hardback,24.76,29.48,4.5,https://www.bookdepository.com/Humans-of-New-York-Brandon-Stanton/9781250058904?ref=grid-view
Music Theory in Practice  Grade 5,All Art & Photography,1-May-08,Eric Taylor,Sheet music,10.74,0,4.5,https://www.bookdepository.com/Music-Theory-in-Practice-Grade-5-Eric-Taylor/9781860969461?ref=grid-view
An Idiot Abroad,All Art & Photography,1-Mar-12,Karl Pilkington,Paperback,11.16,15.01,4,https://www.bookdepository.com/An-Idiot-Abroad-Karl-Pilkington/9781847679277?ref=grid-view
It,All Art & Photography,5-Sep-13,Alexa Chung,Hardback,24.46,27.76,3.5,https://www.bookdepository.com/It-Alexa-Chung/9781846147548?ref=grid-view
Music Theory in Practice  Grade 3,All Art & Photography,15-May-08,Eric Taylor,Sheet music,9.36,0,4.5,https://www.bookdepository.com/Music-Theory-in-Practice-Grade-3-Eric-Taylor/9781860969447?ref=grid-view
How to be Champion,All Art & Photography,6-Mar-18,Sarah Millican,Hardback,21.63,28.98,4.5,https://www.bookdepository.com/How-be-Champion-Sarah-Millican/9781409174301?ref=grid-view
Dare to Dream,All Art & Photography,14-Feb-12,One Direction,Hardback,19.5,27.19,4.5,https://www.bookdepository.com/Dare-Dream-One-Direction/9780007444397?ref=grid-view
Me. You. A Diary,All Art & Photography,5-Oct-17,Dawn French,Hardback,26.57,27.76,4,https://www.bookdepository.com/Me-You-Diary-Dawn-French/9780718187569?ref=grid-view
Macbeth,All Art & Photography,20-Jan-14,William Shakespeare,Paperback,14.51,0,4,https://www.bookdepository.com/Macbeth-William-Shakespeare-Linzy-Brady-Dr-David-James-Rex-Gibson-Vicki-Wienand-Richard-Andrews/9781107615496?ref=grid-view
Show Your Work!,All Art & Photography,3-Jun-14,Austin Kleon,Paperback,11.74,12.95,4,https://www.bookdepository.com/Show-Your-Work-Austin-Kleon/9780761178972?ref=grid-view
Blue Planet II,All Art & Photography,30-Jan-18,James Honeyborne,Hardback,28.19,39.27,4.5,https://www.bookdepository.com/Blue-Planet-II-James-Honeyborne-Mark-Brownlow/9781849909679?ref=grid-view
Music Theory in Practice  Grade 4,All Art & Photography,1-May-08,Eric Taylor,Sheet music,10.19,0,4,https://www.bookdepository.com/Music-Theory-in-Practice-Grade-4-Eric-Taylor/9781860969454?ref=grid-view
Wes Anderson Collection,All Art & Photography,19-Mar-14,Matt Zoller Seitz,Hardback,58.81,0,4.5,https://www.bookdepository.com/Wes-Anderson-Collection-Matt-Zoller-Seitz/9780810997417?ref=grid-view
The Design of Everyday Things,All Art & Photography,14-Nov-13,Donald A. Norman,Paperback,17.24,17.68,4,https://www.bookdepository.com/The-Design-of-Everyday-Things-Donald--Norman/9780465050659?ref=grid-view
Save the Cat!,All Art & Photography,29-Jan-07,Blake Snyder,Paperback,14.8,20.6,4,https://www.bookdepository.com/Save-the-Cat-Blake-Snyder/9781932907001?ref=grid-view
F*ck  That's Delicious,All Art & Photography,30-Sep-17,Action Bronson,Hardback,24.32,27.5,4,https://www.bookdepository.com/Fck-Thats-Delicious-Action-Bronson-Rachel-Wharton-Gabriele-Stabile/9781419726552?ref=grid-view
Really Relaxing Colouring Book 6,All Art & Photography,18-Mar-15,Elizabeth James,Paperback,11.87,0,4,https://www.bookdepository.com/Really-Relaxing-Colouring-Book-6-Elizabeth-James/9781908707499?ref=grid-view
Tricks Of The Mind,All Art & Photography,8-Oct-07,Derren Brown,Paperback,12.56,0,4,https://www.bookdepository.com/Tricks-Of-The-Mind-Derren-Brown/9781905026357?ref=grid-view
On Photography,All Art & Photography,1-Apr-10,Susan Sontag,Paperback,11.33,22,4,https://www.bookdepository.com/On-Photography-Susan-Sontag/9780141035789?ref=grid-view
Colour and Light,All Art & Photography,9-Dec-10,James Gurney,Paperback,19.91,24.57,4,https://www.bookdepository.com/Colour-and-Light-James-Gurney/9780740797712?ref=grid-view
Faber Piano Adventures,All Art & Photography,1-Jan-96,Nancy Faber,Paperback,9.61,0,4,https://www.bookdepository.com/Faber-Piano-Adventures-Nancy-Faber-Randall-Faber/9781616770785?ref=grid-view
The Maddie Diaries,All Art & Photography,7-Mar-17,Maddie Ziegler,Hardback,16.2,18.03,4,https://www.bookdepository.com/The-Maddie-Diaries-Maddie-Ziegler/9781471164965?ref=grid-view
The Ladybird Book of the Shed,All Art & Photography,2-Nov-15,Jason Hazeley,Hardback,9.54,9.7,4,https://www.bookdepository.com/The-Ladybird-Book-of-the-Shed-Jason-Hazeley-Joel-Morris/9780718183585?ref=grid-view
Wall and Piece,All Art & Photography,6-Dec-10,"""Banksy""",Paperback,20.39,22.95,4,https://www.bookdepository.com/Wall-and-Piece-Banksy/9781844137879?ref=grid-view
Read This If You Want to Take Great Photographs,All Art & Photography,25-Mar-14,Henry Carroll,Paperback,15.02,17.64,4,https://www.bookdepository.com/Read-This-If-You-Want-Take-Great-Photographs-Henry-Carroll/9781780673356?ref=grid-view
Ivy and the Inky Butterfly,All Art & Photography,12-Oct-17,Johanna Basford,Paperback,17.32,18.03,4.5,https://www.bookdepository.com/Ivy-and-the-Inky-Butterfly-Johanna-Basford/9780753545652?ref=grid-view
John Thompson's Easiest Piano Course: Book 2,All Art & Photography,1-Jul-05,John Thompson,Sheet music,8.54,0,4,https://www.bookdepository.com/John-Thompsons-Easiest-Piano-Course-Book-2-John-Thompson/9780877180135?ref=grid-view
Secret Garden: 20 Postcards,All Art & Photography,13-Jan-14,Johanna Basford,Postcard book or pack,9.58,9.79,0,https://www.bookdepository.com/Secret-Garden-20-Postcards-Johanna-Basford/9781856699464?ref=grid-view
Drawing on the Right Side of the Brain,All Art & Photography,4-Oct-11,Betty Edwards,Paperback,19.86,33,4,https://www.bookdepository.com/Drawing-on-the-Right-Side-of-the-Brain-Betty-Edwards/9780007116454?ref=grid-view
Japanese Knitting Stitch Bible,All Art & Photography,10-Oct-17,Hitomi Shida,Paperback,18.78,0,5,https://www.bookdepository.com/Japanese-Knitting-Stitch-Bible-Hitomi-Shida-Gayle-Roehm/9784805314531?ref=grid-view
How to Draw Almost Everything,All Art & Photography,1-May-16,Chika Miyata,Paperback,15.88,19.99,4.5,https://www.bookdepository.com/How-Draw-Almost-Everything-Chika-Miyata/9781631591402?ref=grid-view
The Bob's Burgers Burger Book,All Art & Photography,22-Mar-16,Loren Bouchard,Hardback,18.06,19.61,4.5,https://www.bookdepository.com/The-Bobs-Burgers-Burger-Book-Loren-Bouchard-Cole-Bowden/9780789331144?ref=grid-view
This Is Your Brain On Music,All Art & Photography,1-May-08,Daniel J. Levitin,Paperback,12.67,19.75,4,https://www.bookdepository.com/This-Is-Your-Brain-On-Music-Daniel-J-Levitin/9781843547167?ref=grid-view
Thinking with Type,All Art & Photography,17-Nov-10,Ellen Lupton,Paperback,20.81,24.94,4,https://www.bookdepository.com/Thinking-with-Type-Ellen-Lupton/9781568989693?ref=grid-view
Parisian Chic: A Style Guide,All Art & Photography,4-Jun-11,In¨¨s de La Fressange,Hardback,24.39,29.96,3.5,https://www.bookdepository.com/Parisian-Chic-Style-Guide-Ines-de-La-Fressange-Sophie-Gachet/9782080200730?ref=grid-view
101 Things I Learned in Architecture School,All Art & Photography,7-Apr-10,Matthew Frederick,Hardback,16.42,17.64,4,https://www.bookdepository.com/101-Things-I-Learned-in-Architecture-School-Matthew-Frederick/9780262062664?ref=grid-view
Vader's Little Princess,All Art & Photography,1-May-13,Jeffrey Brown,Hardback,13.59,14.7,4,https://www.bookdepository.com/Vaders-Little-Princess-Jeffrey-Brown/9781452118697?ref=grid-view
The AB Guide to Music Theory  Part I,All Art & Photography,20-May-09,Eric Taylor,Sheet music,9.65,0,4,https://www.bookdepository.com/The-AB-Guide-Music-Theory-Part-I-Eric-Taylor/9781854724465?ref=grid-view
Working Class Man,All Art & Photography,21-Aug-18,Jimmy Barnes,Hardback,25.53,28.98,4,https://www.bookdepository.com/Working-Class-Man-Jimmy-Barnes/9781460752142?ref=grid-view
At Home,All Art & Photography,17-Jan-12,Bill Bryson,Paperback,13.81,20.75,4,https://www.bookdepository.com/At-Home-Bill-Bryson/9780552777353?ref=grid-view
Wabi-Sabi for Artists  Designers  Poets & Philosophers,All Art & Photography,1-Nov-08,Leonard Koren,Paperback,14.63,15.73,4,https://www.bookdepository.com/Wabi-Sabi-for-Artists-Designers-Poets--Philosophers-Leonard-Koren/9780981484600?ref=grid-view
Strong Is the New Pretty,All Art & Photography,7-Mar-17,Kate Parker,Paperback,21.03,0,4.5,https://www.bookdepository.com/Strong-Is-the-New-Pretty-Kate-Parker/9780761189138?ref=grid-view
Suzuki Piano School Volume 1 with CD,All Art & Photography,5-Aug-11,Dr. Shinichi Suzuki,Mixed media product,19.74,20.64,4.5,https://www.bookdepository.com/Suzuki-Piano-School-Volume-1-with-CD-Dr-Shinichi-Suzuki/9780739051641?ref=grid-view
The Diary of Frida Kahlo,All Art & Photography,14-Jan-06,Carlos Fuentes,Hardback,23.18,24.53,4,https://www.bookdepository.com/The-Diary-of-Frida-Kahlo-Carlos-Fuentes/9780810959545?ref=grid-view
Coco Chanel,All Art & Photography,13-Oct-15,Megan Hess,Hardback,19.23,24.99,4.5,https://www.bookdepository.com/Coco-Chanel-Megan-Hess/9781743790663?ref=grid-view
The Kite Runner,All Art & Photography,5-Sep-11,Khaled Hosseini,Paperback,11.98,17.93,4.5,https://www.bookdepository.com/The-Kite-Runner-Khaled-Hosseini/9781408824856?ref=grid-view
Wishful Drinking,All Art & Photography,1-Jun-09,Carrie Fisher,Paperback,10.29,10.59,3.5,https://www.bookdepository.com/Wishful-Drinking-Carrie-Fisher/9781847397836?ref=grid-view
Interaction of Color,All Art & Photography,1-Jul-13,Josef Albers,Paperback,18.2,0,4,https://www.bookdepository.com/Interaction-of-Color-Josef-Albers-Nicholas-Fox-Weber/9780300179354?ref=grid-view
Understanding Comics,All Art & Photography,17-May-94,Scott McCloud,Paperback,19.02,24.99,4,https://www.bookdepository.com/Understanding-Comics-Scott-McCloud/9780060976255?ref=grid-view
Paris,All Art & Photography,17-Oct-17,Megan Hess,Hardback,17.82,24.57,4.5,https://www.bookdepository.com/Paris-Megan-Hess/9781743792476?ref=grid-view
Bossypants,All Art & Photography,22-Jun-12,Tina Fey,Paperback,11.05,19.17,4,https://www.bookdepository.com/Bossypants-Tina-Fey/9780751547832?ref=grid-view
Cabin Porn,All Art & Photography,10-Jan-18,Zach Klein,Paperback,15.95,0,4.5,https://www.bookdepository.com/Cabin-Porn-Zach-Klein-Steven-Leckart/9780141982144?ref=grid-view
Alfred's Basic Piano Library Lesson Book  Bk 2,All Art & Photography,30-Dec-81,Willard A Palmer,Paperback,9.68,0,0,https://www.bookdepository.com/Alfreds-Basic-Piano-Library-Lesson-Book-Bk-2-Willard-Palmer/9780882848129?ref=grid-view
Pattern Magic,All Art & Photography,6-Oct-10,Tomoko Nakamichi,Paperback,22.11,24.53,4.5,https://www.bookdepository.com/Pattern-Magic-Tomoko-Nakamichi/9781856697057?ref=grid-view
The China Study: Revised and Expanded Edition,All Art & Photography,12-Jan-17,T. Colin Campbell,Paperback,18.77,0,4,https://www.bookdepository.com/The-China-Study-Revised-and-Expanded-Edition-T-Colin-Campbell-Thomas-M-Campbell-II/9781941631560?ref=grid-view
How to Archer,All Art & Photography,1-Feb-12,Sterling Archer,Paperback,14.38,17.99,4,https://www.bookdepository.com/How-Archer-Sterling-Archer/9780062066312?ref=grid-view
Piano Exam Pieces 2017 & 2018  ABRSM Grade 1,All Art & Photography,7-Jul-16,Richard Jones,Sheet music,9.73,0,4.5,https://www.bookdepository.com/Piano-Exam-Pieces-2017--2018-ABRSM-Grade-1-Richard-Jones/9781848498730?ref=grid-view
Dream Catcher,All Art & Photography,26-Nov-14,Christina Rose,Paperback,13.46,0,0,https://www.bookdepository.com/Dream-Catcher-Christina-Rose/9781909855724?ref=grid-view
Art of Star Wars: The Last Jedi,All Art & Photography,15-Dec-17,Phil Szostak,Hardback,29.23,39.33,4.5,https://www.bookdepository.com/Art-of-Star-Wars-The-Last-Jedi-Phil-Szostak/9781419727054?ref=grid-view
The Magnolia Story,All Art & Photography,18-Oct-16,Chip Gaines,Hardback,20.68,26.99,4.5,https://www.bookdepository.com/The-Magnolia-Story-Chip-Gaines-Joanna-Gaines/9780718079185?ref=grid-view
Wall and Piece,All Art & Photography,1-Sep-06,"""Banksy""",Hardback,29.83,37.31,4,https://www.bookdepository.com/Wall-and-Piece-Banksy/9781844137862?ref=grid-view
Story,All Art & Photography,1-Nov-05,Robert McKee,Paperback,29.97,44,4,https://www.bookdepository.com/Story-Robert-McKee/9780413715609?ref=grid-view
Waiting for Godot,All Art & Photography,1-May-06,Samuel Beckett,Paperback,11.85,15.81,4,https://www.bookdepository.com/Waiting-for-Godot-Samuel-Beckett/9780571229116?ref=grid-view
Moleskine Pocket Sketch-book,All Art & Photography,1-Jan-09,Moleskine,Notebook / blank book,11.44,14.7,0,https://www.bookdepository.com/Moleskine-Pocket-Sketch-book-Moleskine/9788883701054?ref=grid-view
Our Q And A A Day,All Art & Photography,24-Sep-13,Potter Style,Hardback,16.17,16.95,4.5,https://www.bookdepository.com/Our-Q-And-Day-Potter-Style/9780770436681?ref=grid-view
Hamilton: The Revolution,All Art & Photography,14-Nov-16,Lin-Manuel Miranda,Hardback,35.01,41.64,4.5,https://www.bookdepository.com/Hamilton-The-Revolution-Lin-Manuel-Miranda-Jeremy-McCarter/9781408709238?ref=grid-view
Die Hard Christmas,All Art & Photography,24-Oct-17,Insight Editions,Hardback,15.66,16.99,4.5,https://www.bookdepository.com/Die-Hard-Christmas-Insight-Editions/9781608879762?ref=grid-view
Unfiltered: No Shame  No Regrets  Just Me,All Art & Photography,7-Mar-17,Lily Collins,Hardback,17.41,18.03,4,https://www.bookdepository.com/Unfiltered-No-Shame-No-Regrets-Just-Me-Lily-Collins/9781785034107?ref=grid-view
The Complete Persepolis,All Art & Photography,16-Oct-09,Marjane Satrapi,Paperback,21.46,25.51,4.5,https://www.bookdepository.com/The-Complete-Persepolis-Marjane-Satrapi/9780375714832?ref=grid-view
Piano Scales & Broken Chords  Grade 1,All Art & Photography,1-Jul-08,ABRSM,Sheet music,7.55,0,4,https://www.bookdepository.com/Piano-Scales--Broken-Chords-Grade-1-ABRSM/9781860969133?ref=grid-view
Your Beauty Mark,All Art & Photography,8-Dec-15,Dita von Teese,Hardback,27.43,45,4,https://www.bookdepository.com/Your-Beauty-Mark-Dita-von-Teese/9780060722715?ref=grid-view
Bastien Piano Basics,All Art & Photography,10-Nov-97,Unknown,Paperback,8.93,0,4.5,https://www.bookdepository.com/Bastien-Piano-Basics/9780849752667?ref=grid-view
Piano Adventures,All Art & Photography,1-Jan-97,Nancy Faber,Paperback,9.97,0,4,https://www.bookdepository.com/Piano-Adventures-Nancy-Faber-Randall-Faber/9781616770815?ref=grid-view
Yes Please,All Art & Photography,18-Jun-15,Amy Poehler,Paperback,13.92,0,4,https://www.bookdepository.com/Yes-Please-Amy-Poehler/9781447283317?ref=grid-view
Alfred's Basic Piano Prep Course Lesson Book  Bk a,All Art & Photography,1-Aug-88,Willard A Palmer,Paperback,9.08,0,0,https://www.bookdepository.com/Alfreds-Basic-Piano-Prep-Course-Lesson-Book-Bk-Willard-Palmer/9780882848167?ref=grid-view
Mastering Copperplate Calligraphy,All Art & Photography,28-May-00,Eleanor Winters,Paperback,17.5,0,4.5,https://www.bookdepository.com/Mastering-Copperplate-Calligraphy-Eleanor-Winters/9780486409511?ref=grid-view
Star Wars The Last Jedi (TM) Visual Dictionary,All Art & Photography,15-Dec-17,Pablo Hidalgo,Hardback,23.07,0,4.5,https://www.bookdepository.com/Star-Wars-The-Last-Jedi-TM-Visual-Dictionary-Pablo-Hidalgo/9780241281093?ref=grid-view
Grace,All Art & Photography,20-Nov-12,Grace Coddington,Hardback,29.82,34.99,3.5,https://www.bookdepository.com/Grace-Grace-Coddington/9780812993356?ref=grid-view
Working Class Boy,All Art & Photography,3-Oct-17,Jimmy Barnes,Hardback,24,28.98,4,https://www.bookdepository.com/Working-Class-Boy-Jimmy-Barnes/9781460752135?ref=grid-view
Design as Art,All Art & Photography,20-May-09,Bruno Munari,Paperback,12.42,18.63,4,https://www.bookdepository.com/Design-as-Art-Bruno-Munari/9780141035819?ref=grid-view
Mastering Manga with Mark Crilley,All Art & Photography,3-Aug-12,Mark Crilley,Paperback,19.79,22.6,4.5,https://www.bookdepository.com/Mastering-Manga-with-Mark-Crilley-Mark-Crilley/9781440309311?ref=grid-view
Piano Adventures,All Art & Photography,1-Jan-96,Nancy Faber,Paperback,10.11,0,4,https://www.bookdepository.com/Piano-Adventures-Nancy-Faber/9781616770754?ref=grid-view
Humans of New York,All Art & Photography,23-Mar-15,Brandon Stanton,Hardback,24.88,27.76,4.5,https://www.bookdepository.com/Humans-of-New-York-Brandon-Stanton/9781447294252?ref=grid-view
Teaching Little Fingers to Play,All Art & Photography,1-Jul-05,John Thompson,Sheet music,8.29,0,0,https://www.bookdepository.com/Teaching-Little-Fingers-Play-John-Thompson/9780877180203?ref=grid-view
The Fry Chronicles,All Art & Photography,17-May-11,Stephen Fry,Paperback,13.15,20.5,4,https://www.bookdepository.com/The-Fry-Chronicles-Stephen-Fry/9780141039800?ref=grid-view
Doctor Who: Light-Up Tardis Kit,All Art & Photography,28-May-13,Richard Dinnick,Mixed media product,7.37,9.79,4.5,https://www.bookdepository.com/Doctor-Who-Light-Up-Tardis-Kit-Richard-Dinnick/9780762449309?ref=grid-view
Twelve Garden Fairies Bookmarks,All Art & Photography,1-Feb-00,Darcy May,Paperback,3.9,0,0,https://www.bookdepository.com/Twelve-Garden-Fairies-Bookmarks-Darcy-May/9780486401065?ref=grid-view
Alfred's Basic Piano Prep Course Lesson Book  Bk B,All Art & Photography,1-Aug-88,Willard A Palmer,Paperback,8.94,0,4,https://www.bookdepository.com/Alfreds-Basic-Piano-Prep-Course-Lesson-Book-Bk-B-Willard-Palmer/9780882848228?ref=grid-view
Nature Anatomy,All Art & Photography,27-Jan-15,Julia Rothman,Paperback,16.64,16.95,4.5,https://www.bookdepository.com/Nature-Anatomy-Julia-Rothman/9781612122311?ref=grid-view
In the Company of Women,All Art & Photography,4-Oct-16,Grace Bonney,Hardback,34.34,34.99,4,https://www.bookdepository.com/In-the-Company-of-Women-Grace-Bonney/9781579655976?ref=grid-view
Folding Techniques for Designers: From Sheet to Form,All Art & Photography,5-Sep-11,Paul Jackson,Paperback,24.85,34.41,4.5,https://www.bookdepository.com/Folding-Techniques-for-Designers-From-Sheet-Form-Paul-Jackson/9781856697217?ref=grid-view
Alfred's Basic Adult Piano Course: Lesson Book Level 1,All Art & Photography,31-Dec-83,Willard A Palmer,Paperback,13.02,0,0,https://www.bookdepository.com/Alfreds-Basic-Adult-Piano-Course-Lesson-Book-Level-1-Willard-Palmer/9780882846163?ref=grid-view
I Hate Myselfie,All Art & Photography,10-Mar-15,Shane Dawson,Paperback,12.95,15.73,4.5,https://www.bookdepository.com/I-Hate-Myselfie-Shane-Dawson/9781476791548?ref=grid-view
