Name,category,publishtime,author,version,currentprice,primeprice,feedback,URL_Á´½Ó
Compl Illust Enc of Lancaster Bomber,All History & Archaeology,16-Apr-12,Nigel Cawthorne,Paperback,15.84,16.99,4,https://www.bookdepository.com/Compl-Illust-Enc-of-Lancaster-Bomber-Nigel-Cawthorne/9781780190358?ref=grid-view
False Flags,All History & Archaeology,15-Aug-16,Stephen Robinson,Hardback,25.31,29.98,4.5,https://www.bookdepository.com/False-Flags-Stephen-Robinson/9781925335156?ref=grid-view
Forbidden Lessons In A Kabul Guesthouse,All History & Archaeology,1-Oct-12,Suraya Sadeed,Paperback,11.6,20,4,https://www.bookdepository.com/Forbidden-Lessons-In-Kabul-Guesthouse-Suraya-Sadeed-Damien-Lewis/9781844086634?ref=grid-view
Population Control,All History & Archaeology,30-Jul-15,Jim Marrs,Hardback,22.03,27.98,4,https://www.bookdepository.com/Population-Control-Jim-Marrs/9780062359896?ref=grid-view
The Gunpowder Plot,All History & Archaeology,1-Feb-03,Antonia Fraser,Paperback,15.85,0,4,https://www.bookdepository.com/The-Gunpowder-Plot-Antonia-Fraser/9780753814017?ref=grid-view
All the Devils Are Here,All History & Archaeology,30-Aug-11,Bethany McLean,Paperback,18.88,0,4,https://www.bookdepository.com/All-the-Devils-Are-Here-Bethany-McLean-Joe-Nocera/9781591844389?ref=grid-view
Playing the Moldovans at Tennis,All History & Archaeology,1-Jul-11,Tony Hawks,Paperback,13.19,0,4,https://www.bookdepository.com/Playing-the-Moldovans-at-Tennis-Tony-Hawks/9780091920357?ref=grid-view
World War I,All History & Archaeology,21-Apr-14,R G Grant,Hardback,62.17,0,4.5,https://www.bookdepository.com/World-War-I-R-G-Grant/9781465419385?ref=grid-view
A Billion Voices: China's Search for a Common Language: Penguin Specials,All History & Archaeology,1-Oct-16,David Moser,Paperback,9.66,9.79,4,https://www.bookdepository.com/Billion-Voices-Chinas-Search-for-Common-Language-Penguin-Specials-David-Moser/9780734399595?ref=grid-view
The Clintons' War on Women,All History & Archaeology,22-Oct-15,Roger Stone,Hardback,26.03,27.98,4,https://www.bookdepository.com/The-Clintons-War-on-Women-Roger-Stone-Robert-Morrow/9781510706781?ref=grid-view
The Modern World-System I,All History & Archaeology,10-Jun-11,Immanuel Wallerstein,Paperback,37.67,0,4,https://www.bookdepository.com/The-Modern-World-System-I-Immanuel-Wallerstein/9780520267572?ref=grid-view
The Framing of Harry Gleeson,All History & Archaeology,28-Aug-15,Kieran Fagan,Paperback,13.66,23,3.5,https://www.bookdepository.com/The-Framing-of-Harry-Gleeson-Kieran-Fagan/9781848892460?ref=grid-view
The Secret History Of Wonder Woman,All History & Archaeology,1-Dec-14,Jill Lepore,Hardback,26.78,27.76,3.5,https://www.bookdepository.com/The-Secret-History-Of-Wonder-Woman-Jill-Lepore/9781925106329?ref=grid-view
A Military History of Australia,All History & Archaeology,1-May-08,Jeffrey Grey,Paperback,49.64,57,4.5,https://www.bookdepository.com/Military-History-of-Australia-Jeffrey-Grey/9780521697910?ref=grid-view
A Concise History of Japan,All History & Archaeology,13-Dec-16,Brett L. Walker,Paperback,28.37,29.48,3.5,https://www.bookdepository.com/Concise-History-of-Japan-Brett-L-Walker/9780521178723?ref=grid-view
Land of the Turquoise Mountains,All History & Archaeology,30-Jun-16,Cyrus Massoudi,Paperback,15.38,18.5,3.5,https://www.bookdepository.com/Land-of-the-Turquoise-Mountains-Cyrus-Massoudi/9781784535704?ref=grid-view
Berlin. Portrait of a City,All History & Archaeology,1-Sep-13,Hans-Christian Adam,Hardback,79.34,0,4.5,https://www.bookdepository.com/Berlin-Portrait-of-City-Hans-Christian-Adam/9783822814451?ref=grid-view
Atlas of the Irish Rural Landscape,All History & Archaeology,1-Oct-10,F.H.A. Aalen,Hardback,100.99,0,4.5,https://www.bookdepository.com/Atlas-of-the-Irish-Rural-Landscape-FH-Aalen-Kevin-Whelan-Matthew-Stout/9781859184592?ref=grid-view
How Everything Became War and the Military Became Everything,All History & Archaeology,24-Aug-17,Rosa Brooks,Paperback,15.35,17,4,https://www.bookdepository.com/How-Everything-Became-War-and-the-Military-Became-Everything-Rosa-Brooks/9781476777870?ref=grid-view
Fidel and Che,All History & Archaeology,2-Jul-09,Simon Reid-Henry,Paperback,12.66,15.81,4,https://www.bookdepository.com/Fidel-and-Che-Simon-Reid-Henry/9780340923467?ref=grid-view
Exorcising Hitler,All History & Archaeology,6-Mar-12,Frederick Taylor,Paperback,17.3,21,4,https://www.bookdepository.com/Exorcising-Hitler-Frederick-Taylor/9781408822128?ref=grid-view
God's Bankers,All History & Archaeology,2-Dec-15,Gerald Posner,Hardback,27.18,32,4,https://www.bookdepository.com/Gods-Bankers-Gerald-Posner/9781416576570?ref=grid-view
The Duff Cooper Diaries,All History & Archaeology,28-Sep-07,John Julius Norwich,Paperback,18.74,20.95,4,https://www.bookdepository.com/The-Duff-Cooper-Diaries-John-Julius-Norwich/9780753821053?ref=grid-view
Sherman Firefly,All History & Archaeology,19-Feb-08,David Fletcher,Paperback,16.62,17.95,4,https://www.bookdepository.com/Sherman-Firefly-David-Fletcher-Peter-Sarson/9781846032776?ref=grid-view
The Man on Devil's Island,All History & Archaeology,22-Jun-11,Ruth Harris,Paperback,18.23,29.5,4,https://www.bookdepository.com/The-Man-on-Devils-Island-Ruth-Harris/9780141014777?ref=grid-view
Finland at War,All History & Archaeology,24-Mar-16,Vesa Nenye,Hardback,33.83,40.01,4,https://www.bookdepository.com/Finland-at-War-Vesa-Nenye-Peter-Munter-Toni-Wirtanen-Chris-Birks/9781472815262?ref=grid-view
The Last Man,All History & Archaeology,27-Mar-14,Tom Lawson,Hardback,29.34,39.51,4,https://www.bookdepository.com/The-Last-Man-Tom-Lawson/9781780766263?ref=grid-view
Everything Under The Heavens: how the past helps shape China's push for global power,All History & Archaeology,3-Apr-17,Howard W. French,Paperback,24.76,27.26,0,https://www.bookdepository.com/Everything-Under-The-Heavens-how-the-past-helps-shape-Chinas-push-for-global-power-Howard-W-French/9781925322071?ref=grid-view
The Lightning Boys: 2,All History & Archaeology,30-Dec-13,Richard Pike,Hardback,30.79,39.95,4,https://www.bookdepository.com/The-Lightning-Boys-2-Richard-Pike/9781909166134?ref=grid-view
What Happened,All History & Archaeology,12-Sep-17,Hillary Rodham Clinton,CD-Audio,26.15,39.99,4,https://www.bookdepository.com/What-Happened-Hillary-Rodham-Clinton/9781508239758?ref=grid-view
The Roses of No Man's Land,All History & Archaeology,26-Sep-13,Lyn Macdonald,Paperback,13.13,13.87,4.5,https://www.bookdepository.com/The-Roses-of-No-Mans-Land-Lyn-Macdonald/9780241952405?ref=grid-view
Fighters of World War II,All History & Archaeology,8-Dec-04,Jerry Crandall,Paperback,7.84,18.95,0,https://www.bookdepository.com/Fighters-of-World-War-II-Jerry-Crandall-Thomas--Tullis/9780966070644?ref=grid-view
Western Front Companion,All History & Archaeology,1-Oct-13,Mark Adkin,Hardback,80.37,0,4.5,https://www.bookdepository.com/Western-Front-Companion-Mark-Adkin/9780811713160?ref=grid-view
A World Aflame,All History & Archaeology,21-Aug-12,Paul Eaglestone,Paperback,14.94,17.95,3,https://www.bookdepository.com/World-Aflame-Paul-Eaglestone-Mark-Stacey/9781849086820?ref=grid-view
The Black Death,All History & Archaeology,8-Jun-09,John Hatcher,Paperback,15.21,18,3.5,https://www.bookdepository.com/The-Black-Death-John-Hatcher/9780306817922?ref=grid-view
Wulf the Saxon,All History & Archaeology,17-Jun-10,G. A. Henty,Paperback,10.98,0,4,https://www.bookdepository.com/Wulf-the-Saxon-G--Henty/9780486475950?ref=grid-view
The Last Battle,All History & Archaeology,1-May-95,Cornelius Ryan,Paperback,20,0,4,https://www.bookdepository.com/The-Last-Battle-Cornelius-Ryan/9780684803296?ref=grid-view
Savage Continent,All History & Archaeology,2-Jul-13,Keith Lowe,Paperback,18.24,22,4,https://www.bookdepository.com/Savage-Continent-Keith-Lowe/9781250033567?ref=grid-view
Making of the Middle Sea,All History & Archaeology,31-Aug-15,Cyprian Broodbank,Paperback,35.4,0,4.5,https://www.bookdepository.com/Making-of-the-Middle-Sea-Cyprian-Broodbank/9780500292082?ref=grid-view
The Verso Book of Dissent,All History & Archaeology,8-Nov-10,Verso,Paperback,20.96,0,4,https://www.bookdepository.com/The-Verso-Book-of-Dissent-Verso-Ali-Tariq/9781844674480?ref=grid-view
Lenin,All History & Archaeology,7-Nov-17,Victor Sebestyen,Hardback,27.53,34.41,4.5,https://www.bookdepository.com/Lenin-Victor-Sebestyen/9781101871638?ref=grid-view
The Generals,All History & Archaeology,29-Oct-13,Thomas E Ricks,Paperback,19.6,0,4,https://www.bookdepository.com/The-Generals-Thomas-E-Ricks/9780143124092?ref=grid-view
The Airmen and the Headhunters,All History & Archaeology,30-Jan-09,Judith M. Heimann,Paperback,18.42,0,4,https://www.bookdepository.com/The-Airmen-and-the-Headhunters-Judith-M-Heimann/9780156033251?ref=grid-view
Bury My Heart at Wounded Knee: The Illustrated Edition,All History & Archaeology,2-Oct-12,Dee Brown,Paperback,31.51,0,4,https://www.bookdepository.com/Bury-My-Heart-at-Wounded-Knee-The-Illustrated-Edition-Dee-Brown-Hampton-Sides/9781402793370?ref=grid-view
Wounded,All History & Archaeology,6-Mar-14,Emily Mayhew,Paperback,13.3,13.87,4,https://www.bookdepository.com/Wounded-Emily-Mayhew/9780099584186?ref=grid-view
Heimskringla,All History & Archaeology,7-Jan-91,Snorri Sturluson,Paperback,27.71,0,4,https://www.bookdepository.com/Heimskringla-Snorri-Sturluson/9780486263663?ref=grid-view
Video Night in Kathmandu,All History & Archaeology,18-Jun-89,Pico Iyer,Paperback,16.25,0,4,https://www.bookdepository.com/Video-Night-in-Kathmandu-Pico-Iyer/9780679722168?ref=grid-view
The China Choice,All History & Archaeology,1-Dec-13,Hugh White,Hardback,19.17,24.53,0,https://www.bookdepository.com/The-China-Choice-Hugh-White/9780199684717?ref=grid-view
The Economic History of China,All History & Archaeology,10-Mar-16,Richard Von Glahn,Paperback,35.97,39.31,4.5,https://www.bookdepository.com/The-Economic-History-of-China-Richard-Von-Glahn/9781107615700?ref=grid-view
The Literary Churchill,All History & Archaeology,28-May-14,Jonathan Rose,Hardback,37.33,0,4.5,https://www.bookdepository.com/The-Literary-Churchill-Jonathan-Rose/9780300204070?ref=grid-view
Roman Standards & Standard-Bearers 1,All History & Archaeology,23-Jan-18,Raffaele D'Amato,Paperback,14.49,18.68,0,https://www.bookdepository.com/Roman-Standards--Standard-Bearers-1-Raffaele-DAmato-Peter-Dennis/9781472821805?ref=grid-view
How Democracies Die,All History & Archaeology,16-Jan-18,Steven Levitsky,Hardback,23.75,26,4,https://www.bookdepository.com/How-Democracies-Die-Steven-Levitsky-Daniel-Ziblatt/9781524762933?ref=grid-view
The Great Shark Hunt,All History & Archaeology,6-Nov-03,Hunter S Thompson,Paperback,21.4,0,4,https://www.bookdepository.com/The-Great-Shark-Hunt-Hunter-S-Thompson/9780743250450?ref=grid-view
Arabia Felix,All History & Archaeology,13-Jun-17,Thorkild Hansen,Paperback,15.91,17.95,4.5,https://www.bookdepository.com/Arabia-Felix-Thorkild-Hansen/9781681370729?ref=grid-view
From Asgard to Valhalla,All History & Archaeology,6-Jan-09,Heather O'Donoghue,Paperback,14.14,25,4,https://www.bookdepository.com/From-Asgard-Valhalla-Heather-ODonoghue/9781845118297?ref=grid-view
Did Muhammad Exist?,All History & Archaeology,1-Sep-14,Robert Spencer,Paperback,16.95,18,4,https://www.bookdepository.com/Did-Muhammad-Exist-Robert-Spencer/9781610171335?ref=grid-view
Who Cut The Cheese?,All History & Archaeology,1-Feb-99,Jim Dawson,Paperback,11.47,0,3.5,https://www.bookdepository.com/Who-Cut-The-Cheese-Jim-Dawson/9781580080118?ref=grid-view
Strike Eagle,All History & Archaeology,30-Sep-05,William L. Smallwood,Paperback,8.56,8.95,4,https://www.bookdepository.com/Strike-Eagle-William-L-Smallwood/9781574888850?ref=grid-view
China's Political System,All History & Archaeology,28-Dec-16,Sebastian Heilmann,Paperback,37.7,39.01,4,https://www.bookdepository.com/Chinas-Political-System-Sebastian-Heilmann/9781442277359?ref=grid-view
Bill Bryson's African Diary,All History & Archaeology,19-May-16,Bill Bryson,Hardback,14.17,15.26,3.5,https://www.bookdepository.com/Bill-Brysons-African-Diary-Bill-Bryson/9780857524201?ref=grid-view
The Tragedy of Liberation,All History & Archaeology,24-Sep-13,Professor Frank Dikotter,Hardback,28.62,30,4,https://www.bookdepository.com/The-Tragedy-of-Liberation-Professor-Frank-Dikotter/9781620403471?ref=grid-view
At the Edge of the World,All History & Archaeology,4-Apr-17,Jean-Vincent Blanchard,Hardback,24.07,30,4,https://www.bookdepository.com/At-the-Edge-of-the-World-Jean-Vincent-Blanchard/9780802743879?ref=grid-view
The Story of the Scrolls,All History & Archaeology,21-Apr-10,Geza Vermes,Paperback,17.27,18.95,4,https://www.bookdepository.com/The-Story-of-the-Scrolls-Geza-Vermes/9780141046150?ref=grid-view
Genes  Peoples  and Languages,All History & Archaeology,1-Aug-09,Luigi Luca Cavalli-Sforza,Paperback,12.3,22,4,https://www.bookdepository.com/Genes-Peoples-and-Languages-Luigi-Luca-Cavalli-Sforza-Mark-Seielstad/9780140296020?ref=grid-view
Faith of Our Families,All History & Archaeology,28-Oct-17,James Corbett,Hardback,29.26,31.95,5,https://www.bookdepository.com/Faith-of-Our-Families-James-Corbett/9781909245648?ref=grid-view
Japanese Tea Ceremony,All History & Archaeology,15-Jun-08,A. I. Sadler,Paperback,20.56,21.95,4,https://www.bookdepository.com/Japanese-Tea-Ceremony--I-Sadler/9784805309148?ref=grid-view
The Assassination of Reinhard Heydrich,All History & Archaeology,10-Jul-17,Callum MacDonald,Paperback,12.73,12.99,4,https://www.bookdepository.com/The-Assassination-of-Reinhard-Heydrich-Callum-MacDonald/9781843410362?ref=grid-view
Meditations,All History & Archaeology,29-Nov-14,Marcus Aurelius,Paperback,12.2,0,4,https://www.bookdepository.com/Meditations-Marcus-Aurelius/9781503280465?ref=grid-view
Bhutan,All History & Archaeology,1-Dec-09,Francoise Pommaret,Paperback,25.75,0,4,https://www.bookdepository.com/Bhutan-Francoise-Pommaret/9789622178106?ref=grid-view
Antarctica,All History & Archaeology,1-Mar-13,Gabrielle Walker,Paperback,18.98,0,4,https://www.bookdepository.com/Antarctica-Gabrielle-Walker/9781408830598?ref=grid-view
The Last Englishman,All History & Archaeology,1-May-10,Roland Chambers,Paperback,16.13,18.03,3.5,https://www.bookdepository.com/The-Last-Englishman-Roland-Chambers/9780571222629?ref=grid-view
The Road To Eleusis,All History & Archaeology,28-Jan-09,Albert Hoffman,Paperback,16.99,18.63,4,https://www.bookdepository.com/The-Road-Eleusis-Albert-Hoffman-R-Gordon-Wasson/9781556437526?ref=grid-view
Along the Archival Grain,All History & Archaeology,14-Feb-10,Ann Laura Stoler,Paperback,30.62,30.96,3.5,https://www.bookdepository.com/Along-the-Archival-Grain-Ann-Laura-Stoler/9780691146362?ref=grid-view
Secret Treasure of Oak Island,All History & Archaeology,1-Jun-04,D'Arcy O'Connor,Paperback,17.14,0,4,https://www.bookdepository.com/Secret-Treasure-of-Oak-Island-DArcy-OConnor/9781592282791?ref=grid-view
George F. Kennan,All History & Archaeology,18-May-12,John Lewis Gaddis,Hardback,32.15,39.95,4,https://www.bookdepository.com/George-F-Kennan-John-Lewis-Gaddis/9781594203121?ref=grid-view
Deadly Companions,All History & Archaeology,1-Mar-09,Dorothy H. Crawford,Paperback,11.41,19.95,4,https://www.bookdepository.com/Deadly-Companions-Dorothy-H-Crawford/9780199561445?ref=grid-view
We Now Know,All History & Archaeology,9-Jul-98,John Lewis Gaddis,Paperback,30.48,0,3.5,https://www.bookdepository.com/We-Now-Know-John-Lewis-Gaddis/9780198780717?ref=grid-view
The Federalist Papers,All History & Archaeology,20-Aug-14,Alexander Hamilton,Paperback,8.23,0,4,https://www.bookdepository.com/The-Federalist-Papers-Alexander-Hamilton/9780486496368?ref=grid-view
Where We Are,All History & Archaeology,16-Jan-18,Roger Scruton,Hardback,21,23.6,4.5,https://www.bookdepository.com/Where-We-Are-Roger-Scruton/9781472947888?ref=grid-view
Australia's Toughest Prisons,All History & Archaeology,1-Nov-17,James Phelps,Paperback,16.01,24.94,3.5,https://www.bookdepository.com/Australias-Toughest-Prisons-James-Phelps/9780143780526?ref=grid-view
The Last Of The Nomads,All History & Archaeology,1-Oct-17,Peasley W J,Paperback,19.59,0,4,https://www.bookdepository.com/The-Last-Of-The-Nomads-Peasley-W-J/9780949206879?ref=grid-view
Anne of Cleves,All History & Archaeology,19-Nov-10,Elizabeth Norton,Paperback,12.84,15.95,4,https://www.bookdepository.com/Anne-of-Cleves-Elizabeth-Norton/9781445601830?ref=grid-view
Love And War In The Pyrenees,All History & Archaeology,1-Mar-11,Rosemary Bailey,Paperback,11.33,12.95,4,https://www.bookdepository.com/Love-And-War-In-The-Pyrenees-Rosemary-Bailey/9780753825914?ref=grid-view
Emancipation(s),All History & Archaeology,17-Jan-07,Ernesto Laclau,Paperback,14.26,0,4,https://www.bookdepository.com/Emancipations-Ernesto-Laclau/9781844675760?ref=grid-view
The Maximalist,All History & Archaeology,8-Dec-15,Matt Cooper,Hardback,30.18,50,4,https://www.bookdepository.com/The-Maximalist-Matt-Cooper/9780717167210?ref=grid-view
Margaret Thatcher: A Life and Legacy,All History & Archaeology,1-Mar-17,Mr David Cannadine,Hardback,12.91,14.95,4,https://www.bookdepository.com/Margaret-Thatcher-Life-and-Legacy-Mr-David-Cannadine/9780198795001?ref=grid-view
Early Medieval Architecture,All History & Archaeology,2-Dec-99,Roger Stalley,Paperback,20.49,27.96,4,https://www.bookdepository.com/Early-Medieval-Architecture-Roger-Stalley/9780192842237?ref=grid-view
Anaximander,All History & Archaeology,1-Sep-16,Carlo Rovelli,Paperback,19.16,19.95,4,https://www.bookdepository.com/Anaximander-Carlo-Rovelli/9781594162626?ref=grid-view
Art of War,All History & Archaeology,1-Nov-89,Tzu Sun,Paperback,12.63,12.78,4,https://www.bookdepository.com/Art-of-War-Tzu-Sun-James-Clavell/9780385299855?ref=grid-view
Wallis in Love,All History & Archaeology,13-Feb-18,Andrew Morton,Paperback,17.49,19.54,0,https://www.bookdepository.com/Wallis-in-Love-Andrew-Morton/9781782439318?ref=grid-view
Holt's Pocket Battlefield Guide to Ypres and Passchendaele: 1st Ypres; 2nd Ypres (Gas Attack); 3rd Ypres (Passchendaele) 4th Ypres (The Lys),All History & Archaeology,15-Sep-06,Tonie Holt,Paperback,9.41,12.95,3.5,https://www.bookdepository.com/Holts-Pocket-Battlefield-Guide-Ypres-and-Passchendaele-1st-Ypres-2nd-Ypres-Gas-Attack-3rd-Ypres-Passchendaele-4th-Ypres-The-Lys-Tonie-Holt-Valmai-Holt/9781844153770?ref=grid-view
Hidden Bhutan,All History & Archaeology,22-May-12,Martin Uitz,Paperback,11.52,11.95,3.5,https://www.bookdepository.com/Hidden-Bhutan-Martin-Uitz-Nathaniel-McBride/9781907973161?ref=grid-view
A Cat Called Birmingham,All History & Archaeology,1-Sep-05,Chris Pascoe,Paperback,9.98,12.42,4,https://www.bookdepository.com/Cat-Called-Birmingham-Chris-Pascoe/9780340836071?ref=grid-view
Belle,All History & Archaeology,22-Apr-14,Paula Byrne,Paperback,12.15,12.48,3.5,https://www.bookdepository.com/Belle-Paula-Byrne/9780007542727?ref=grid-view
Chosen Men,All History & Archaeology,20-Dec-16,Mark Latham,Paperback,14.87,19,4,https://www.bookdepository.com/Chosen-Men-Mark-Latham-Mark-Stacey/9781472810809?ref=grid-view
OCR GCSE History Explaining the Modern World: Modern World History Period and Depth Studies,All History & Archaeology,20-Sep-16,Ben Walsh,Paperback,24.71,27,0,https://www.bookdepository.com/OCR-GCSE-History-Explaining-the-Modern-World-Modern-World-History-Period-and-Depth-Studies-Ben-Walsh/9781471860188?ref=grid-view
Backstabbing for Beginners,All History & Archaeology,17-Jun-10,Michael Soussan,Paperback,17.63,0,4,https://www.bookdepository.com/Backstabbing-for-Beginners-Michael-Soussan/9781568584416?ref=grid-view
Following the Equator,All History & Archaeology,1-Sep-05,Mark Twain,Paperback,17.67,0,4,https://www.bookdepository.com/Following-the-Equator-Mark-Twain-Anthony-Brandt/9780792238768?ref=grid-view
Bouvard and Pecuchet,All History & Archaeology,30-Nov-05,Gustave Flaubert,Paperback,16.78,0,4,https://www.bookdepository.com/Bouvard-and-Pecuchet-Gustave-Flaubert-Mark-Polizzotti-Raymond-Queneau/9781564783936?ref=grid-view
Moscow  1937,All History & Archaeology,18-Oct-12,Karl Schl_gel,Hardback,41.64,0,4,https://www.bookdepository.com/Moscow-1937-Karl-Schlogel/9780745650760?ref=grid-view
Inside The Centre,All History & Archaeology,7-Nov-13,Ray Monk,Paperback,23.4,23.58,4,https://www.bookdepository.com/Inside-The-Centre-Ray-Monk/9780099433538?ref=grid-view
The Dog that Saved My Life,All History & Archaeology,1-Jan-10,Isabel George,Paperback,12.2,15.51,4,https://www.bookdepository.com/The-Dog-that-Saved-My-Life-Isabel-George/9780007339204?ref=grid-view
The Conquering Tide,All History & Archaeology,2-Dec-15,Ian W. Toll,Hardback,29.29,34.41,4.5,https://www.bookdepository.com/The-Conquering-Tide-Ian-W-Toll/9780393080643?ref=grid-view
The Orpheus Clock,All History & Archaeology,1-Sep-15,Simon Goodman,Paperback,18.93,20.81,4,https://www.bookdepository.com/The-Orpheus-Clock-Simon-Goodman/9781925228243?ref=grid-view
The Golden Age,All History & Archaeology,18-Nov-11,Hugh Thomas,Paperback,23.81,0,3.5,https://www.bookdepository.com/The-Golden-Age-Hugh-Thomas/9780141034492?ref=grid-view
Four Hours in My Lai,All History & Archaeology,1-Mar-93,Kevin Sim,Paperback,17.43,18,4,https://www.bookdepository.com/Four-Hours-in-My-Lai-Kevin-Sim-Michael-Bilton/9780140177091?ref=grid-view
Stoic Warriors,All History & Archaeology,19-Mar-07,Nancy Sherman,Paperback,20.41,0,3.5,https://www.bookdepository.com/Stoic-Warriors-Nancy-Sherman/9780195315912?ref=grid-view
The Fixer,All History & Archaeology,16-Jun-15,Joe Sacco,Paperback,19.32,28.75,4,https://www.bookdepository.com/The-Fixer-Joe-Sacco/9780224073820?ref=grid-view
Britain's Toy Car Wars,All History & Archaeology,1-Nov-16,Giles Chapman,Paperback,23.2,36.95,4.5,https://www.bookdepository.com/Britains-Toy-Car-Wars-Giles-Chapman/9780750965941?ref=grid-view
The Six Wives of Henry VIII,All History & Archaeology,1-Apr-00,Alison Weir,Paperback,19.49,0,4,https://www.bookdepository.com/The-Six-Wives-of-Henry-VIII-Alison-Weir/9780802136831?ref=grid-view
Jane Boleyn,All History & Archaeology,2-Apr-09,Julia Fox,Paperback,12.9,15.81,3.5,https://www.bookdepository.com/Jane-Boleyn-Julia-Fox/9780753823866?ref=grid-view
The Merchant of Prato,All History & Archaeology,4-May-17,Iris Origo,Paperback,13.98,15.26,4,https://www.bookdepository.com/The-Merchant-of-Prato-Iris-Origo/9780241293928?ref=grid-view
Battle for Britain,All History & Archaeology,24-May-16,Peter Dennis,Paperback,15.67,29.96,0,https://www.bookdepository.com/Battle-for-Britain-Peter-Dennis/9781910777909?ref=grid-view
The Hidden Ways,All History & Archaeology,6-Mar-18,Alistair Moffat,Hardback,23.28,26,4,https://www.bookdepository.com/The-Hidden-Ways-Alistair-Moffat/9781786891013?ref=grid-view
A History of Ancient Egypt  Volume 2,All History & Archaeology,2-Nov-17,John Romer,Paperback,17.12,18.03,4,https://www.bookdepository.com/History-of-Ancient-Egypt-Volume-2-John-Romer/9780141399720?ref=grid-view
Kisses on a Postcard,All History & Archaeology,3-May-10,Terence Frisby,Paperback,12.01,12.48,4,https://www.bookdepository.com/Kisses-on-Postcard-Terence-Frisby/9781408801062?ref=grid-view
The Past Is a Foreign Country - Revisited,All History & Archaeology,27-Nov-15,David Lowenthal,Paperback,35.62,0,4,https://www.bookdepository.com/The-Past-Is-Foreign-Country---Revisited-David-Lowenthal/9780521616850?ref=grid-view
Mao's Last Revolution,All History & Archaeology,27-Nov-08,Roderick MacFarquhar,Paperback,30.82,0,4,https://www.bookdepository.com/Maos-Last-Revolution-Roderick-MacFarquhar-Michael-Schoenhals/9780674027480?ref=grid-view
Second Nature,All Science & Geography,9-Aug-11,Jonathan Balcombe,Paperback,18.55,18.99,4,https://www.bookdepository.com/Second-Nature-Jonathan-Balcombe-J-M-Coetzee/9780230107816?ref=grid-view
