52 Lists for Happiness: Weekly Journaling Inspiration for Positivity  Balance  and Joy,Arts & Photography,20-Sep-16,by Moorea Seal,Diary,11.52,16.95,4.8,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
Billy Gogan  American: A Novel,Arts & Photography,24-May-16,by Roger Higgins,Paperback,11.5,16.95,4.9,https://www.amazon.com/s/ref=lp_283155_nr_n_3?fst=as%3Aoff&rh=n%3A283155 n%3A1 k%3Abook&keywords=book&ie=UTF8&qid=1517292279&rnid=1000
52 Lists for Happiness: Weekly Journaling Inspiration for Positivity  Balance  and Joy,Arts & Photography,20-Sep-16,by Moorea Seal,Diary,11.52,16.95,4.8,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
Katie Daisy 2017 _ 2018 On-the-Go Weekly Planner: 17-Month Calendar with Pocket,Arts & Photography,21-Jul-17,by Katie Daisy and Amber Lot Publishing,Calendar,11.99,14.99,4.6,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
Tell Me More: Stories About the 12 Hardest Things I'm Learning to Say,Arts & Photography,9-Jan-18,by Kelly Corrigan,Hardcover,17.1,26,4.5,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
Born a Crime: Stories from a South African Childhood,Arts & Photography,15-Nov-16,by Trevor Noah,Hardcover,18.68,28,4.8,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
Ansel Adams 2018 Wall Calendar,Arts & Photography,25-Jul-17,by Ansel Adams,Calendar,15.13,,4.8,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
The Greatest Showman: Mic from the Motion Picture Soundtrack,Arts & Photography,1-Jan-18,by Benj Pasek and Jtin Paul,Paperback,16.19,17.99,2.7,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
Adult Coloring Book: Stress Relieving Animal Designs,Arts & Photography,19-Aug-16,by Dan Morris,Paperback,4.14,,4.5,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
Hand Lettering 101: An Introduction to the Art of Creative Lettering (Hand Lettering Series),Arts & Photography,21-Jun-16,by Chalkfulloflove and Paige Tate Select,Spiral-bound,20.99,29.99,4.3,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
The Autobiography of Gucci Mane,Arts & Photography,19-Sep-17,by Gucci Mane and Neil Martinez-Belkin,Hardcover,16.71,27,4.8,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
Lettering For Beginners: A Creative Lettering How To Guide With Alphabet Guides  Projects And Practice Pages,Arts & Photography,26-May-17,by Lettering Designs,Paperback,6.29,,3.8,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
Q&A a Day: 5-Year Journal,Arts & Photography,23-Nov-10,by Potter Gift,Diary,15.29,16.99,4.7,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
Go F*ck Yourself  I'm Coloring: Swear Word Coloring Book,Arts & Photography,20-Jun-16,by Alex Fleming,Paperback,5.74,,4.5,https://www.amazon.com/s/ref=sr_pg_2?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=2&d=1&keywords=book&ie=UTF8&qid=1518104068
Adult Coloring Book : Stress Relieving Designs Animals  Mandalas  Flowers  Paisley Patterns And So Much More,Arts & Photography,17-Nov-17,by Cindy Elsharouni,Paperback,7.8,,4.7,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Our Bucket List: A Journal,Arts & Photography,5-Jan-18,by Creative Smart Journals,Paperback,5.99,6.99,5,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Looking at Movies (Fifth Edition),Arts & Photography,6-Oct-15,by Richard Barsam and Dave Monahan,Paperback,21.69,,4.4,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Primer Level - Lesson Book: Piano Adventures,Arts & Photography,1-Jan-96,by Nancy Faber and Randall Faber,Paperback,7.99,,4.6,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Standard Wirebound Mancript Paper (Green Cover),Arts & Photography,1-Feb-86,by Hal Leonard Corp.,Spiral-bound,2.89,4.99,4.7,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
A Simplified Life: Tactical Tools for Intentional Living,Arts & Photography,21-Nov-17,by Emily Ley,Hardcover,14.99,19.99,4.6,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Jt the Right Level for Beginning Readers,Arts & Photography,1-Oct-10,by Deborah Schecter,Paperback,16.19,17.99,4.5,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Living with Art (B&b Art),Arts & Photography,9-Oct-15,by Mark Getlein,Paperback,16.18,,4.5,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Film Art: An Introduction,Arts & Photography,4-Jan-16,by David Bordwell and Kristin Thompson,Paperback,24.48,,3.8,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Led Zeppelin by Led Zeppelin,Arts & Photography,2-Oct-18,by Led Zeppelin,Hardcover,53.1,69.95,0,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Sierra Club Wilderness Calendar 2018,Arts & Photography,1-Aug-17,by Sierra Club,Calendar,12.95,14.95,4.8,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Level 1 - Theory Book: Piano Adventures,Arts & Photography,1-Jan-93,by Nancy Faber,Paperback,6.99,,4.7,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Running Under Sail - A Connie Barrera Thriller (Connie Barrera Thrillers) (Volume 5),Arts & Photography,17-Apr-16,by C. L.R. Dougherty,Paperback,13.95,,4.8,https://www.amazon.com/s/ref=sr_pg_3?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=3&d=1&keywords=book&ie=UTF8&qid=1518104089
Thomas Kinkade: The Disney Dreams Collection 2018 Wall Calendar,Arts & Photography,30-May-17,by Thomas Kinkade,Calendar,22.5,,4.8,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
Persepolis: The Story of a Childhood (Pantheon Graphic Novels),Arts & Photography,1-Jun-04,by Marjane Satrapi,Paperback,6.54,14.95,4.5,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
Prebles' Artforms (11th Edition),Arts & Photography,4-Oct-13,by Duane Preble Emerit and Sarah Preble,Paperback,55.99,,4.4,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
The Enjoyment of Mic (Shorter Twelfth Edition),Arts & Photography,24-Sep-14,by Kristine Forney and Andrew Dell'Antonio,Paperback,20,,4.2,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
The Design of Everyday Things: Revised and Expanded Edition,Arts & Photography,5-Nov-13,by Don Norman,Paperback,11.33,18.99,4.4,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
The Legend of Zelda Encyclopedia,Arts & Photography,24-Apr-18,by Nintendo,Hardcover,25.48,39.99,0,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
Strong Is the New Pretty: A Celebration of Girls Being Themselves,Arts & Photography,7-Mar-17,by Kate T. Parker,Paperback,13.87,17.95,4.8,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
The Art of Star Wars: The Last Jedi,Arts & Photography,15-Dec-17,by Phil Szostak and Lucasfilm LTD,Hardcover,23.1,40,4.4,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
The Complete Persepolis,Arts & Photography,30-Oct-07,by Marjane Satrapi,Paperback,15.19,25.95,4.5,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs  Mandalas  Animals  and Paisley Patterns,Arts & Photography,8-Dec-15,Unknown,Paperback,4.49,,4.4,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
Black Privilege: Opportunity Comes to Those Who Create It,Arts & Photography,18-Apr-17,by Charlamagne Tha God,Hardcover,18.19,25.99,4.8,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
Adobe Photoshop CC Classroom in a Book (2017 release),Arts & Photography,1-Jan-17,by Andrew Faulkner and Conrad Chavez,Paperback,37.96,59.99,4.3,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
LOW-FODMAP Diet: Ultimate Beginners Guide And Cookbook For Beginners,Arts & Photography,16-Jan-18,by Lisa Quin,Paperback,7.99,,4.9,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
The Complete CROCK-POT Express Multi-cooker COOKBOOK: Quick and Easy Recipes for Fast and Healthy Meals,Arts & Photography,3-Dec-17,by Betty Moore,Paperback,13.47,14.97,4,https://www.amazon.com/s/ref=sr_pg_4?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=4&d=1&keywords=book&ie=UTF8&qid=1518104110
World of Art  A  Books a la Carte Edition (8th Edition),Arts & Photography,2-Oct-15,by Henry M. Sayre,Loose Leaf,133,152,3.9,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
Understanding Comics: The Invisible Art,Arts & Photography,27-Apr-94,by Scott McCloud,Paperback,14.48,24.99,4.7,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
Fun Home: A Family Tragicomic,Arts & Photography,5-Jun-07,by Alison Bechdel,Paperback,8.79,16.99,4.4,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
Make Life Your Bitch: Motivational adult coloring book. Turn your stress into success! (Midnight Edition),Arts & Photography,24-Nov-16,by John T,Paperback,3.99,,4.5,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
Hand Lettering for Relaxation: An Inspirational Workbook for Creating Beautiful Lettered Art,Arts & Photography,11-Jul-17,by Amy Latta,Paperback,14.95,21.99,4.7,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
How to Draw People (Dover How to Draw),Arts & Photography,21-May-02,by Barbara Soloff Levy,Paperback,3.03,4.99,4.6,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
Teach Yourself to Play Guitar: A Quick and Easy Introduction for Beginners,Arts & Photography,1-Apr-04,by David M. Brewster,Paperback,6.94,,4.2,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
Single State of Mind,Arts & Photography,9-Jan-18,by Andi Dorfman,Hardcover,15,25,3.7,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
All You Need to Know About the Mic Biness: Ninth Edition,Arts & Photography,10-Nov-15,by Donald S. Passman,Hardcover,24.74,35,4.7,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
The Secret Lives of Color,Arts & Photography,24-Oct-17,by Kassia St Clair,Hardcover,13.5,20,4.9,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
Save The Cat! The Last Book on Screenwriting You'll Ever Need,Arts & Photography,25-May-05,by Blake Snyder,Paperback,13.17,20.95,4.6,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
How To Play Keyboard: A Complete Guide for Absolute Beginners,Arts & Photography,29-May-13,by Ben Parker,Paperback,10.76,11.95,4.3,https://www.amazon.com/s/ref=sr_pg_5?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=5&d=1&keywords=book&ie=UTF8&qid=1518104132
F*ck  That's Delicio: An Annotated Guide to Eating Well,Arts & Photography,12-Sep-17,by Action Bronson and Rachel Wharton,Hardcover,16.43,27.5,4.6,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
Mic: An Appreciation  Brief Edition,Arts & Photography,13-Feb-17,by Roger Kamien Mic: An Appreciation,Paperback,20.99,,4.2,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
Chasing Light: Michelle Obama Through the Lens of a White Hoe Photographer,Arts & Photography,17-Oct-17,by Amanda Lucidon,Hardcover,18.25,29.99,4.7,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
Everyday Watercolor: Learn to Paint Watercolor in 30 Days,Arts & Photography,10-Oct-17,by Jenna Rainey,Paperback,15.63,22.99,4.7,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
A Book That Takes Its Time: An Unhurried Adventure in Creative Mindfulness (Flow),Arts & Photography,3-Oct-17,by Irene Smit and Astrid van der Hulst,Hardcover,17.31,27.5,4.5,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
Chanel: Collections and Creations,Arts & Photography,17-Sep-07,by Dani¨¨le Bott,Hardcover,36,40,4.4,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
The Bob's Burgers Burger Book: Real Recipes for Joke Burgers,Arts & Photography,22-Mar-16,by Loren Bouchard and Bob's Burgers,Hardcover,13.56,19.95,4.9,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
Fundamentals of Building Construction: Materials and Methods,Arts & Photography,14-Oct-13,by Edward Allen and Joseph Iano,Hardcover,33.23,,4.4,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
Hal Leonard Guitar Method  Complete Edition: Books 1  2 and 3,Arts & Photography,1-May-02,by Will Schmid and Greg Koch,Plastic Comb,14.71,24.99,4.5,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
In the Company of Women: Inspiration and Advice from over 100 Makers  Artists  and Entrepreneurs,Arts & Photography,4-Oct-16,by Grace Bonney,Hardcover,22.36,35,4.3,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
The 5 Second Journal: The Best Daily Journal and Fastest Way to Slow Down  Power Up  and Get Sh*t Done,Arts & Photography,19-Dec-17,by Mel Robbins,Hardcover,26.99,29.99,4.1,https://www.amazon.com/s/ref=sr_pg_6?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=6&d=1&keywords=book&ie=UTF8&qid=1518104153
Robert's Rules of Order Newly Revised (Robert's Rules of Order (Paperback)),Arts & Photography,27-Sep-11,by Henry M. Robert III and Daniel H. Honemann,Paperback,12.43,18.99,4.6,https://www.amazon.com/s/ref=sr_pg_7?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=7&d=1&keywords=book&ie=UTF8&qid=1518104173
Level 2A - Lesson Book: Piano Adventures,Arts & Photography,1-Jan-97,by Nancy Faber and Randall Faber,Paperback,7.99,,4.8,https://www.amazon.com/s/ref=sr_pg_7?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=7&d=1&keywords=book&ie=UTF8&qid=1518104173
Notes from the Upside Down: An Unofficial Guide to Stranger Things,Arts & Photography,29-Aug-17,by Guy Adams,Paperback,11,16,4.4,https://www.amazon.com/s/ref=sr_pg_7?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=7&d=1&keywords=book&ie=UTF8&qid=1518104173
2: Gardner's Art through the Ages: The Western Perspective  Volume II,Arts & Photography,1-Jan-16,by Fred S. Kleiner,Paperback,53.44,,4.2,https://www.amazon.com/s/ref=sr_pg_7?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=7&d=1&keywords=book&ie=UTF8&qid=1518104173
The 52 Lists Project: A Year of Weekly Journaling Inspiration,Arts & Photography,8-Sep-15,by Moorea Seal,Diary,13.86,16.95,4.7,https://www.amazon.com/s/ref=sr_pg_7?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=7&d=1&keywords=book&ie=UTF8&qid=1518104173
Essential Elements for Strings - Book 1 with EEi: Violin,Arts & Photography,1-Jul-02,by Michael Allen and Robert Gillespie,Paperback,5.79,9.99,4.6,https://www.amazon.com/s/ref=sr_pg_7?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=7&d=1&keywords=book&ie=UTF8&qid=1518104173
Eat What You Watch: A Cookbook for Movie Lovers,Arts & Photography,3-Oct-17,by Andrew Rea,Hardcover,21.99,25,4.4,https://www.amazon.com/s/ref=sr_pg_7?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=7&d=1&keywords=book&ie=UTF8&qid=1518104173
Complete Guide to Bible Journaling: Creative Techniques to Express Your Faith (Including 270 Full-Color Stickers  150 Designs on Perforated Pages  & 60 Designs on Translucent Sheets of Vellum),Arts & Photography,14-Feb-17,by Joanne Fink and Regina Yoder,Paperback,12.34,19.99,4.7,https://www.amazon.com/s/ref=sr_pg_7?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=7&d=1&keywords=book&ie=UTF8&qid=1518104173
Complete Color Coded Flash Cards for All Beginning Mic Students,Arts & Photography,1-Jul-96,by Alfred Mic,Cards,5.99,,4.6,https://www.amazon.com/s/ref=sr_pg_7?fst=as%3Aoff&rh=n%3A283155%2Cn%3A1%2Ck%3Abook&page=7&d=1&keywords=book&ie=UTF8&qid=1518104173
